model,ds_type,noise_levels,n_samples,k_folds,k,TRE,TESTE,E_DIFF
knn,circles,0.2,1000,9,31,0.704444444,0.65,0.054444444
knn,circles,0.2,10000,9,31,0.705444444,0.633,0.072444444
knn,circles,0.3,10,9,31,0.666666667,0,0.666666667
knn,circles,0.3,50,9,31,0.4,0.6,-0.2
knn,circles,0.3,100,9,31,0.6,0.7,-0.1
knn,circles,0.3,1000,9,31,0.656666667,0.66,-0.003333333
knn,circles,0.3,10000,9,31,0.646666667,0.612,0.034666667
knn,circles,0.4,10,9,31,0.555555556,0,0.555555556
knn,circles,0.4,50,9,31,0.533333333,0.8,-0.266666667
knn,circles,0.4,100,9,31,0.588888889,0.7,-0.111111111
knn,circles,0.4,1000,9,31,0.637777778,0.52,0.117777778
knn,circles,0.4,10000,9,31,0.620444444,0.549,0.071444444
knn,circles,0.5,10,9,31,0.666666667,1,-0.333333333
knn,circles,0.5,50,9,31,0.511111111,0.8,-0.288888889
knn,circles,0.5,100,9,31,0.588888889,0.2,0.388888889
knn,circles,0.5,1000,9,31,0.601111111,0.54,0.061111111
knn,circles,0.5,10000,9,31,0.593666667,0.55,0.043666667
knn,moons,0,10,9,31,0.555555556,0,0.555555556
knn,moons,0,50,9,31,0.866666667,0.8,0.066666667
knn,moons,0,100,9,31,0.922222222,0.6,0.322222222
knn,moons,0,1000,9,31,1,1,0
knn,moons,0,10000,9,31,1,1,0
knn,moons,0.1,10,9,31,0.555555556,1,-0.444444444
knn,moons,0.1,50,9,31,0.866666667,0.6,0.266666667
knn,moons,0.1,100,9,31,0.911111111,0.8,0.111111111
knn,moons,0.1,1000,9,31,0.998888889,1,-0.001111111
knn,moons,0.1,10000,9,31,0.999,0.999,0
knn,moons,0.2,10,9,31,0.666666667,1,-0.333333333
knn,moons,0.2,50,9,31,0.822222222,1,-0.177777778
knn,moons,0.2,100,9,31,0.911111111,1,-0.088888889
knn,moons,0.2,1000,9,31,0.974444444,0.97,0.004444444
knn,moons,0.2,10000,9,31,0.970111111,0.969,0.001111111
knn,moons,0.3,10,9,31,0.666666667,0,0.666666667
knn,moons,0.3,50,9,31,0.755555556,1,-0.244444444
knn,moons,0.3,100,9,31,0.9,0.8,0.1
knn,moons,0.3,1000,9,31,0.906666667,0.92,-0.013333333
knn,moons,0.3,10000,9,31,0.912444444,0.912,0.000444444
knn,moons,0.4,10,9,31,0.666666667,1,-0.333333333
knn,moons,0.4,50,9,31,0.733333333,0.4,0.333333333
knn,moons,0.4,100,9,31,0.788888889,0.9,-0.111111111
knn,moons,0.4,1000,9,31,0.868888889,0.83,0.038888889
knn,moons,0.4,10000,9,31,0.871333333,0.851,0.020333333
knn,moons,0.5,10,9,31,0.555555556,0,0.555555556
knn,moons,0.5,50,9,31,0.733333333,0.8,-0.066666667
knn,moons,0.5,100,9,31,0.811111111,0.9,-0.088888889
knn,moons,0.5,1000,9,31,0.837777778,0.83,0.007777778
knn,moons,0.5,10000,9,31,0.823444444,0.84,-0.016555556
knn,circles,0,10,9,21,0.555555556,0,0.555555556
knn,circles,0,50,9,21,0.622222222,0.8,-0.177777778
knn,circles,0,100,9,21,0.633333333,0.8,-0.166666667
knn,circles,0,1000,9,21,1,1,0
knn,circles,0,10000,9,21,1,1,0
knn,circles,0.1,10,9,21,0.666666667,1,-0.333333333
knn,circles,0.1,50,9,21,0.533333333,0.6,-0.066666667
knn,circles,0.1,100,9,21,0.577777778,0.6,-0.022222222
knn,circles,0.1,1000,9,21,0.844444444,0.86,-0.015555556
knn,circles,0.1,10000,9,21,0.845333333,0.847,-0.001666667
knn,circles,0.2,10,9,21,0.666666667,0,0.666666667
knn,circles,0.2,50,9,21,0.644444444,0.6,0.044444444
knn,circles,0.2,100,9,21,0.6,0.6,0
knn,circles,0.2,1000,9,21,0.713333333,0.67,0.043333333
knn,circles,0.2,10000,9,21,0.707333333,0.637,0.070333333
knn,circles,0.3,10,9,21,0.666666667,0,0.666666667
knn,circles,0.3,50,9,21,0.644444444,0.6,0.044444444
knn,circles,0.3,100,9,21,0.533333333,0.6,-0.066666667
knn,circles,0.3,1000,9,21,0.658888889,0.65,0.008888889
knn,circles,0.3,10000,9,21,0.649111111,0.605,0.044111111
knn,circles,0.4,10,9,21,0.555555556,0,0.555555556
knn,circles,0.4,50,9,21,0.644444444,0.6,0.044444444
knn,circles,0.4,100,9,21,0.677777778,0.7,-0.022222222
knn,circles,0.4,1000,9,21,0.636666667,0.56,0.076666667
knn,circles,0.4,10000,9,21,0.630888889,0.569,0.061888889
knn,circles,0.5,10,9,21,0.666666667,1,-0.333333333
knn,circles,0.5,50,9,21,0.533333333,0.8,-0.266666667
knn,circles,0.5,100,9,21,0.644444444,0.3,0.344444444
knn,circles,0.5,1000,9,21,0.627777778,0.55,0.077777778
knn,circles,0.5,10000,9,21,0.603444444,0.552,0.051444444
knn,moons,0,10,9,21,0.555555556,0,0.555555556
knn,moons,0,50,9,21,0.888888889,0.8,0.088888889
knn,moons,0,100,9,21,0.955555556,0.9,0.055555556
knn,moons,0,1000,9,21,1,1,0
knn,moons,0,10000,9,21,1,1,0
knn,moons,0.1,10,9,21,0.555555556,1,-0.444444444
knn,moons,0.1,50,9,21,0.866666667,1,-0.133333333
knn,moons,0.1,100,9,21,0.977777778,0.9,0.077777778
knn,moons,0.1,1000,9,21,0.998888889,1,-0.001111111
knn,moons,0.1,10000,9,21,0.999111111,0.999,0.000111111
knn,moons,0.2,10,9,21,0.666666667,1,-0.333333333
knn,moons,0.2,50,9,21,0.844444444,1,-0.155555556
knn,moons,0.2,100,9,21,0.955555556,1,-0.044444444
knn,moons,0.2,1000,9,21,0.974444444,0.97,0.004444444
knn,moons,0.2,10000,9,21,0.969666667,0.969,0.000666667
knn,moons,0.3,10,9,21,0.666666667,0,0.666666667
knn,moons,0.3,50,9,21,0.844444444,1,-0.155555556
knn,moons,0.3,100,9,21,0.922222222,0.8,0.122222222
knn,moons,0.3,1000,9,21,0.906666667,0.92,-0.013333333
knn,moons,0.3,10000,9,21,0.912,0.91,0.002
