,model,ds_type,noise_levels,n_samples,k_folds,k,TRE,TESTE,E_DIFF
327,knn,circles,0.0,1000,2,51,0.9944444444444445,1.0,-0.005555555555555536
328,knn,circles,0.0,1000,2,53,0.99,1.0,-0.010000000000000009
329,knn,circles,0.0,1000,2,55,0.9888888888888889,0.99,-0.0011111111111110628
330,knn,circles,0.0,1000,3,1,1.0,1.0,0.0
331,knn,circles,0.0,1000,3,3,1.0,1.0,0.0
332,knn,circles,0.0,1000,3,5,1.0,1.0,0.0
333,knn,circles,0.0,1000,3,11,1.0,1.0,0.0
334,knn,circles,0.0,1000,3,21,1.0,1.0,0.0
335,knn,circles,0.0,1000,3,31,1.0,1.0,0.0
336,knn,circles,0.0,1000,3,41,1.0,1.0,0.0
337,knn,circles,0.0,1000,3,51,0.9988888888888889,1.0,-0.0011111111111110628
338,knn,circles,0.0,1000,3,53,0.9866666666666667,1.0,-0.013333333333333308
339,knn,circles,0.0,1000,3,55,0.9855555555555555,0.99,-0.004444444444444473
340,knn,circles,0.0,1000,4,1,1.0,1.0,0.0
341,knn,circles,0.0,1000,4,3,1.0,1.0,0.0
342,knn,circles,0.0,1000,4,5,1.0,1.0,0.0
343,knn,circles,0.0,1000,4,11,1.0,1.0,0.0
344,knn,circles,0.0,1000,4,21,1.0,1.0,0.0
345,knn,circles,0.0,1000,4,31,1.0,1.0,0.0
346,knn,circles,0.0,1000,4,41,0.9966666666666667,0.99,0.00666666666666671
347,knn,circles,0.0,1000,4,51,0.9677777777777777,0.9,0.06777777777777771
348,knn,circles,0.0,1000,4,53,0.9533333333333334,0.85,0.10333333333333339
349,knn,circles,0.0,1000,4,55,0.95,0.85,0.09999999999999998
350,knn,circles,0.0,1000,5,1,1.0,1.0,0.0
351,knn,circles,0.0,1000,5,3,1.0,1.0,0.0
352,knn,circles,0.0,1000,5,5,1.0,1.0,0.0
353,knn,circles,0.0,1000,5,11,1.0,1.0,0.0
354,knn,circles,0.0,1000,5,21,1.0,1.0,0.0
355,knn,circles,0.0,1000,5,31,1.0,1.0,0.0
356,knn,circles,0.0,1000,5,41,0.9877777777777778,0.95,0.0377777777777778
357,knn,circles,0.0,1000,5,51,0.9811111111111112,0.96,0.02111111111111119
358,knn,circles,0.0,1000,5,53,0.9711111111111111,0.95,0.02111111111111119
359,knn,circles,0.0,1000,5,55,0.9711111111111111,0.95,0.02111111111111119
360,knn,circles,0.0,1000,6,1,1.0,1.0,0.0
361,knn,circles,0.0,1000,6,3,1.0,1.0,0.0
